x y z
0.9375 0.0 0.421875
0.890625 -0.046875 0.46875
0.84375 -0.09375 0.46875
0.9375 -0.046875 0.46875
0.890625 -0.140625 0.46875
0.9375 -0.09375 0.421875
0.984375 -0.09375 0.46875
0.890625 -0.09375 0.46875
0.890625 -0.09375 0.421875
0.9375 -0.140625 0.421875
0.9375 -0.09375 0.46875
0.9375 -0.046875 0.46875
0.890625 -0.046875 0.46875
0.984375 -0.09375 0.46875
0.890625 -0.09375 0.515625
0.890625 -0.046875 0.421875
0.84375 -0.09375 0.46875
0.890625 -0.046875 0.46875
0.9375 -0.140625 0.46875
0.890625 -0.140625 0.421875
0.9375 -0.09375 0.421875
0.9375 -0.046875 0.46875
1.21875 -0.09375 0.75
1.453125 0.28125 0.046875
1.21875 0.609375 0.46875
0.1875 0.703125 -0.65625
0.375 0.28125 -0.515625
0.28125 0.234375 0.84375
1.265625 -0.140625 0.890625
1.40625 0.046875 0.5625
1.40625 0.046875 0.328125
1.03125 0.140625 0.515625
0.703125 0.328125 -1.078125
0.1875 0.1875 0.0
1.21875 -0.984375 1.265625
1.453125 -0.046875 0.0
1.21875 -0.09375 0.375
1.03125 -0.140625 0.28125
1.125 0.0 0.1875
1.078125 -0.046875 0.09375
0.984375 -0.046875 0.1875
1.03125 -0.09375 0.234375
1.03125 -0.046875 0.1875
1.03125 -0.046875 0.234375
0.984375 -0.046875 0.234375
1.03125 -0.046875 0.234375
1.03125 -0.09375 0.28125
1.03125 -0.09375 0.28125
1.03125 -0.09375 0.1875
